chassis_option,engine_option,transmission_option,clutch_option,cooling_option,intake_option,exhaust_option,fuel_option,brakes_option,cabin_option,electrical_option,oil_option,rops_option,steering_option,suspension_front_option,suspension_rear_option,speed_kmh,yaw_deg,CD,CL,CY,CM,notes
CHS-A3,ENG-A1,TRN-A1,CLT-A3,COL-A2,INT-A1,EXH-A1,FUL-A1,BRK-A3,CAB-A1,ELE-A3,OIL-A3,ROPS-A1,STR-A2,SFR-A1,SRR-A1,66.6,-3.1,0.3968,0.0469,-0.0183,-0.0071,
CHS-A3,ENG-A2,TRN-A1,CLT-A3,COL-A2,INT-A3,EXH-A1,FUL-A2,BRK-A1,CAB-A2,ELE-A3,OIL-A3,NONE,STR-A2,SFR-A3,SRR-A1,109.3,1.6,0.4651,0.083,0.0136,0.0044,
CHS-A1,ENG-A2,TRN-A2,CLT-A2,COL-A3,INT-A2,EXH-A1,FUL-A2,BRK-A2,CAB-A1,ELE-A2,OIL-A3,NONE,STR-A3,SFR-A1,SRR-A3,104.4,0.1,0.4641,0.061,0.0142,-0.0009,
CHS-A2,ENG-A1,TRN-A1,CLT-A1,COL-A2,INT-A2,EXH-A2,FUL-A1,BRK-A1,NONE,ELE-A3,OIL-A3,ROPS-A2,STR-A3,SFR-A2,SRR-A2,121.9,-10.7,0.3255,0.0046,-0.1009,-0.0376,
CHS-A2,ENG-A3,TRN-A2,CLT-A2,COL-A1,INT-A1,EXH-A3,FUL-A2,BRK-A1,CAB-A3,ELE-A1,OIL-A1,ROPS-A3,STR-A3,SFR-A2,SRR-A3,64.4,-1.2,0.494,0.0829,-0.0024,-0.0057,
CHS-A1,ENG-A3,TRN-A3,CLT-A1,COL-A3,INT-A3,EXH-A2,FUL-A3,BRK-A2,CAB-A1,ELE-A2,OIL-A1,ROPS-A2,STR-A3,SFR-A3,SRR-A2,128.0,0.2,0.5319,0.093,0.0062,-0.0033,
CHS-A1,ENG-A1,TRN-A2,CLT-A1,COL-A3,INT-A3,EXH-A1,FUL-A3,BRK-A2,CAB-A2,ELE-A1,OIL-A2,NONE,STR-A2,SFR-A1,SRR-A1,76.9,4.3,0.4403,0.0696,0.0073,0.0053,
CHS-A3,ENG-A2,TRN-A2,CLT-A3,COL-A2,INT-A1,EXH-A1,FUL-A1,BRK-A1,CAB-A2,ELE-A3,OIL-A3,ROPS-A1,STR-A1,SFR-A1,SRR-A1,109.5,-0.3,0.4087,0.0657,-0.0045,0.0039,
CHS-A2,ENG-A3,TRN-A2,CLT-A1,COL-A3,INT-A1,EXH-A3,FUL-A3,BRK-A3,CAB-A2,ELE-A2,OIL-A2,ROPS-A1,STR-A1,SFR-A3,SRR-A2,84.8,0.7,0.4535,0.057,-0.0032,0.0072,
CHS-A1,ENG-A1,TRN-A1,CLT-A1,COL-A3,INT-A2,EXH-A1,FUL-A2,BRK-A1,CAB-A1,ELE-A1,OIL-A1,ROPS-A2,STR-A3,SFR-A1,SRR-A1,105.7,1.8,0.4594,0.0731,0.0199,0.003,
CHS-A3,ENG-A3,TRN-A2,CLT-A1,COL-A1,INT-A2,EXH-A1,FUL-A1,BRK-A3,CAB-A3,ELE-A1,OIL-A3,ROPS-A2,STR-A1,SFR-A3,SRR-A2,95.2,-10.3,0.5785,0.1057,-0.1246,-0.0329,
CHS-A3,ENG-A1,TRN-A2,CLT-A1,COL-A3,INT-A1,EXH-A3,FUL-A3,BRK-A1,CAB-A3,ELE-A2,OIL-A3,ROPS-A3,STR-A3,SFR-A2,SRR-A2,74.3,-7.8,0.5223,0.1041,-0.0934,-0.0241,
CHS-A1,ENG-A1,TRN-A2,CLT-A3,COL-A3,INT-A1,EXH-A1,FUL-A3,BRK-A1,CAB-A2,ELE-A1,OIL-A2,NONE,STR-A1,SFR-A2,SRR-A2,71.0,6.1,0.4129,0.0512,0.022,0.0071,
CHS-A3,ENG-A2,TRN-A3,CLT-A1,COL-A1,INT-A2,EXH-A1,FUL-A1,BRK-A3,CAB-A2,ELE-A2,OIL-A2,ROPS-A3,STR-A3,SFR-A2,SRR-A1,108.1,0.2,0.5172,0.1104,0.0107,0.0026,
CHS-A2,ENG-A1,TRN-A1,CLT-A2,COL-A1,INT-A3,EXH-A2,FUL-A1,BRK-A3,CAB-A2,ELE-A3,OIL-A2,ROPS-A2,STR-A1,SFR-A1,SRR-A3,123.3,2.0,0.4418,0.0877,0.0246,0.0036,
CHS-A1,ENG-A2,TRN-A1,CLT-A3,COL-A1,INT-A3,EXH-A1,FUL-A2,BRK-A3,NONE,ELE-A2,OIL-A3,ROPS-A3,STR-A1,SFR-A1,SRR-A1,121.7,6.0,0.3307,-0.0136,0.0652,0.0133,
CHS-A3,ENG-A1,TRN-A2,CLT-A1,COL-A3,INT-A1,EXH-A2,FUL-A1,BRK-A2,CAB-A1,ELE-A2,OIL-A2,ROPS-A2,STR-A1,SFR-A1,SRR-A1,106.2,-0.2,0.4492,0.0712,-0.0073,-0.0066,
CHS-A3,ENG-A2,TRN-A1,CLT-A1,COL-A2,INT-A1,EXH-A3,FUL-A2,BRK-A1,CAB-A1,ELE-A2,OIL-A2,ROPS-A3,STR-A2,SFR-A2,SRR-A3,128.9,-0.3,0.5013,0.0893,0.0028,0.0002,
CHS-A3,ENG-A3,TRN-A3,CLT-A3,COL-A3,INT-A3,EXH-A3,FUL-A1,BRK-A2,CAB-A2,ELE-A3,OIL-A2,ROPS-A3,STR-A3,SFR-A1,SRR-A3,123.0,-1.3,0.5476,0.0955,-0.0242,-0.0029,
CHS-A2,ENG-A3,TRN-A3,CLT-A1,COL-A3,INT-A3,EXH-A2,FUL-A2,BRK-A3,CAB-A3,ELE-A2,OIL-A2,ROPS-A1,STR-A3,SFR-A3,SRR-A3,82.6,4.1,0.5018,0.0677,0.034,-0.0008,
CHS-A3,ENG-A1,TRN-A3,CLT-A1,COL-A2,INT-A3,EXH-A3,FUL-A3,BRK-A3,CAB-A2,ELE-A1,OIL-A3,ROPS-A2,STR-A1,SFR-A1,SRR-A1,63.2,3.3,0.4976,0.065,0.0439,0.0079,
CHS-A3,ENG-A3,TRN-A2,CLT-A2,COL-A2,INT-A1,EXH-A1,FUL-A3,BRK-A3,CAB-A1,ELE-A1,OIL-A2,ROPS-A1,STR-A3,SFR-A3,SRR-A2,63.5,1.9,0.4688,0.0633,-0.0012,0.0077,
CHS-A2,ENG-A3,TRN-A3,CLT-A3,COL-A2,INT-A3,EXH-A2,FUL-A1,BRK-A3,NONE,ELE-A2,OIL-A2,ROPS-A3,STR-A3,SFR-A2,SRR-A3,93.9,-0.3,0.3484,-0.0085,-0.0026,0.0027,
CHS-A3,ENG-A1,TRN-A1,CLT-A1,COL-A1,INT-A2,EXH-A3,FUL-A1,BRK-A3,CAB-A1,ELE-A2,OIL-A2,ROPS-A2,STR-A2,SFR-A2,SRR-A1,74.5,3.3,0.4857,0.0683,0.031,0.0127,
CHS-A1,ENG-A2,TRN-A2,CLT-A2,COL-A2,INT-A3,EXH-A3,FUL-A3,BRK-A3,CAB-A3,ELE-A1,OIL-A2,ROPS-A1,STR-A2,SFR-A2,SRR-A1,87.2,8.9,0.475,0.0732,0.0529,0.0294,
CHS-A3,ENG-A1,TRN-A2,CLT-A3,COL-A3,INT-A3,EXH-A1,FUL-A1,BRK-A3,CAB-A2,ELE-A2,OIL-A1,ROPS-A1,STR-A2,SFR-A2,SRR-A1,91.8,-4.1,0.4569,0.0659,-0.017,-0.0085,
CHS-A1,ENG-A2,TRN-A1,CLT-A3,COL-A3,INT-A1,EXH-A2,FUL-A1,BRK-A3,CAB-A1,ELE-A3,OIL-A1,ROPS-A3,STR-A1,SFR-A1,SRR-A1,103.5,-1.5,0.4717,0.0829,-0.0177,-0.0048,
