stator_od_mm,stack_length_mm,airgap_mm,magnet_thickness_mm,turns_per_coil,current_a,speed_rpm,temperature_c,torque_nm,efficiency_pct,total_loss_w
195.0968,43.5015,1.0501,5.0089,23.6753,114.7379,10760.0650,30.4327,18.3136,95.799,931.964
84.7765,67.8373,1.7998,7.9045,11.2906,102.4972,9808.4503,20.7799,1.1736,84.591,207.269
141.2451,61.7671,2.4144,6.0294,8.2259,33.5403,10246.1852,92.4471,0.1493,92.140,11.229
148.1362,117.2857,2.1588,8.5667,26.6810,100.8293,8602.5761,25.4989,20.4057,97.543,534.166
94.3626,72.5907,0.7020,5.5018,21.2564,71.0765,4757.0811,45.1408,3.0275,83.593,303.980
110.8050,142.0778,0.8268,6.4151,29.7486,109.6000,6904.9221,102.1537,21.2263,95.063,728.950
121.2287,44.4940,1.1309,5.4097,11.0636,152.0074,10578.2277,57.7613,2.4126,85.784,454.295
127.6784,74.5279,1.6227,5.3647,20.0301,145.6952,5093.1058,46.3185,11.9531,88.913,822.652
96.3637,46.5963,0.7193,8.6470,25.0099,79.1024,1230.5686,65.7943,3.9655,41.568,723.683
82.0666,140.9011,1.8634,7.8327,12.4038,109.7347,1782.8500,72.1718,2.2361,75.788,129.943
237.6535,76.8745,1.5012,4.6079,27.9031,141.8726,3932.1151,96.6739,58.0473,96.247,943.652
220.1528,114.2495,0.5011,5.9174,6.4674,150.0738,10605.3016,119.7999,4.2824,98.394,85.903
238.0417,172.5729,0.6713,7.3739,7.6611,126.4843,9307.0959,35.4070,5.9623,98.469,88.297
156.1648,69.6517,1.5786,9.5694,10.8276,63.6403,11944.2176,97.9854,1.3071,96.730,54.953
101.7808,71.4576,1.1762,8.2948,11.5228,50.8304,1316.4205,95.7324,0.5162,64.185,41.357
122.8408,133.6569,0.9285,4.1908,28.4523,99.9460,5935.7168,114.1543,17.2527,95.198,517.699
97.4475,100.3472,1.3472,7.2032,23.4978,114.2710,11817.8999,31.8101,9.9253,94.627,742.904
114.2376,102.8059,1.3438,5.5069,11.9954,149.2572,5596.0036,123.3619,4.4273,91.199,250.503
259.8708,157.0439,2.4380,11.3373,26.3687,43.2836,6084.8729,45.6497,8.4868,97.194,109.386
127.7366,149.7699,1.4100,6.8071,28.9756,159.3592,6891.3357,106.2090,47.5676,96.624,1263.253
254.3677,121.0852,1.5844,9.7318,7.3720,101.7849,6282.7794,122.3264,3.2718,98.380,41.024
187.1063,134.5298,0.9704,4.0790,27.3669,54.4701,7336.9703,94.3258,8.9518,98.149,143.814
174.1009,170.8589,0.9085,9.4457,11.7285,75.4100,8224.4376,55.9996,3.4664,98.578,57.800
259.7218,179.4535,0.6465,4.9184,12.3648,150.6563,10629.9380,125.5124,21.8476,98.826,325.786
230.0741,138.4956,1.7234,11.8851,21.6954,21.0952,9896.6976,55.9255,1.2043,97.212,36.926
99.2665,117.4513,1.0447,8.4435,23.2227,48.5036,7793.7365,51.6781,2.4998,94.862,106.282
232.2987,52.9218,1.3472,5.4901,6.0851,127.9567,7826.8038,51.4346,2.0707,96.477,59.604
93.5439,163.6349,2.3079,7.9103,26.0303,101.5513,2203.0785,35.2935,11.4376,87.535,396.890
223.3020,160.4984,2.2978,4.8907,11.9887,34.3911,9471.3368,126.0962,0.6925,97.942,18.899
235.6290,176.6688,2.1215,10.9327,6.5949,123.1190,4320.1329,131.6979,3.6236,97.340,31.033
225.9349,77.3528,2.0747,3.9729,26.9320,140.2031,3057.9878,117.9904,41.5441,94.437,812.542
84.2596,67.0382,1.1565,10.7792,29.2053,59.0775,7877.0400,67.9614,3.2326,85.332,473.992
249.0627,56.1478,2.4408,4.6071,29.1008,57.1653,1746.6293,72.1477,10.2698,90.792,179.250
149.3352,120.7223,1.0094,9.3791,6.0406,149.5805,6692.1980,106.3316,2.1808,96.028,54.130
145.5599,49.7963,1.8285,5.9718,13.5340,138.7221,8777.1740,56.0387,4.6490,90.331,454.926
102.9118,98.8625,2.3807,9.0959,27.6673,106.1721,3960.9236,85.7525,12.0341,86.838,761.756
157.3799,121.1979,1.8094,7.1849,16.6118,49.9182,5941.6411,128.1417,2.0677,97.100,43.438
193.9294,86.9264,2.1368,9.7602,22.1471,51.4497,2789.9942,22.9310,5.4153,95.600,79.795
232.9528,50.1960,1.3289,8.6679,10.6664,117.4896,6185.3374,49.2781,5.8496,96.176,150.714
99.1857,99.5205,0.8518,11.6217,18.4310,27.0306,3365.7802,121.8004,0.4378,87.836,21.751
200.1640,178.3049,1.6909,11.5504,27.3942,105.7713,8771.6506,80.5734,41.4946,98.974,580.814
165.4414,76.2868,0.9945,8.7390,24.3795,92.9820,7707.6070,52.9517,15.4500,96.623,472.319
128.9087,84.7593,1.5803,4.2454,11.5503,117.1530,8623.8201,27.7075,3.0581,94.137,170.522
155.6258,166.6774,1.6682,9.2597,26.5616,127.1832,4874.3818,20.7075,40.7429,97.842,560.748
233.6206,173.4802,1.3380,9.7276,19.1072,104.4554,3036.1950,46.3306,24.2865,97.625,163.784
152.7770,63.1063,1.4348,4.1487,20.9342,23.7753,5031.2329,87.7270,0.5904,92.473,25.735
104.4259,104.6378,0.6006,6.4119,11.0798,65.7584,9254.1416,65.4951,1.0358,95.107,49.641
83.4890,115.5187,2.4998,6.1496,21.6035,129.3726,7995.1785,110.5080,6.7899,88.518,734.566
83.6684,61.3335,0.7524,9.0251,19.5353,50.5150,8543.8472,112.0278,1.0227,84.429,170.433
227.4742,175.0609,0.7162,3.2311,13.4870,114.8286,11518.9876,67.5985,12.7524,98.423,223.632
204.3106,127.8139,0.7038,9.9523,26.4070,104.0576,1892.1332,138.0613,35.0415,95.382,303.055
171.0729,87.7724,2.1992,10.4010,8.5329,154.5103,7809.2287,119.4449,4.3642,95.963,132.373
212.0832,175.1663,1.0402,10.2738,18.9161,87.6897,5509.1067,107.7231,14.5694,98.302,159.020
238.6936,74.1409,1.4294,8.4930,15.0957,24.0180,10285.9576,41.8208,0.7018,97.974,21.486
141.2610,163.2448,1.9024,5.4864,6.2436,152.7288,1484.5491,106.4090,2.0675,90.042,36.010
168.3478,151.0106,0.6861,4.9944,22.6029,62.8688,7187.8892,76.7913,7.8328,97.810,127.826
214.2684,86.3108,1.9057,5.4382,12.0337,36.8918,2714.7194,34.3466,0.8053,95.436,11.521
167.1557,141.4419,2.4532,7.7217,12.7920,34.0737,2732.3521,47.2980,0.6809,95.623,8.945
