melt_temp_c,mold_temp_c,pack_pressure_mpa,cooling_time_s,injection_rate_ccs,wall_thickness_mm,part_size_mm,glass_fibre_pct,warpage_mm,springback_mm,peak_residual_stress_mpa
263.9427,22.0009,54.7526,15.1427,91.0118,3.0301,362.2628,3.4776,2.1273,0.9227,73.899
202.6536,35.9070,88.4896,25.4381,34.2485,2.7678,333.3007,0.2600,0.1462,0.0608,38.290
234.0251,32.4384,116.1492,18.7710,20.2020,1.2901,346.6230,24.1490,0.0537,0.0244,47.982
237.8534,64.1633,104.6464,27.7926,104.7878,2.7321,296.6001,1.8330,0.0644,0.0278,41.091
207.9792,38.6233,39.0901,16.8952,79.9253,2.0945,179.5633,8.3803,1.0219,0.4771,43.500
217.1139,78.3301,44.7062,20.1426,118.8476,2.9200,244.9324,27.3846,2.5129,1.2500,49.787
222.9048,22.5680,58.3908,16.5677,33.2081,3.8287,356.7287,12.5871,2.5022,1.1276,78.756
226.4880,39.7302,80.5231,16.4077,74.3045,3.6935,189.7902,8.7728,0.5139,0.2367,67.218
209.0909,23.7693,39.8684,28.0783,97.1287,2.2665,72.2347,15.2648,0.3668,0.1640,48.497
201.1481,77.6577,91.3539,25.1831,39.3508,2.9229,89.0433,17.3906,0.0312,0.0138,38.470
287.5853,41.0711,75.0528,13.7169,110.3891,3.6116,154.4557,25.5580,1.0419,0.4957,112.021
277.8626,62.4283,30.0515,18.3730,12.1424,3.7873,357.5527,33.2666,7.2516,3.5943,101.854
287.8010,95.7560,37.7088,23.5517,17.6134,3.2818,318.0421,5.1357,3.2170,1.4425,54.868
242.3138,36.9439,78.5366,31.3578,32.1266,1.9351,398.3023,25.9951,0.6994,0.3125,52.478
212.1004,37.9758,60.4277,26.8259,35.3126,1.6607,74.8476,25.2441,0.2175,0.1070,43.655
223.8005,73.5182,49.2813,12.2340,112.9066,2.7131,215.4349,31.3848,2.5427,1.2395,62.295
209.6931,54.4841,68.1221,22.9448,90.1983,3.0201,394.4578,3.9367,1.2245,0.5428,42.506
219.0209,55.8891,67.9693,16.9134,37.4787,3.7698,205.0958,34.4540,1.5700,0.7670,78.936
299.9282,86.8822,117.2097,37.6437,103.3565,1.4989,219.9744,8.5499,0.0291,0.0131,34.851
226.5203,82.7256,70.9508,21.5362,115.3049,3.9863,244.5189,28.7363,1.6017,0.7449,64.374
