length_mm,width_mm,thickness_mm,fillet_mm,hole_dia_mm,force_N,force_angle_deg,youngs_modulus_GPa,yield_strength_MPa,peak_vm_stress_MPa,peak_disp_mm
156.7312,21.0004,7.3004,4.2321,10.3106,462.8051,23.5308,82.1714,495.3453,495.154,10.6572
140.6426,21.0614,6.3861,8.4988,7.6292,200.0000,5.3559,183.3203,204.5491,294.930,2.1168
120.8301,26.2192,15.4866,5.3659,1.2984,966.8798,20.8497,154.5216,764.9898,130.568,0.4367
196.7739,35.1414,10.6245,10.2940,8.6593,1603.7700,4.6411,168.6401,232.0771,730.571,7.0459
89.5750,29.3116,5.2120,4.7797,8.8996,355.1287,-7.7891,99.3310,386.8845,335.129,2.4350
153.0957,26.8455,12.7495,3.6340,5.3124,2558.0284,8.4000,147.9730,679.2300,883.037,4.2667
107.4858,21.2840,7.7854,4.6774,2.9538,1032.5557,22.5821,114.0549,658.8071,515.338,4.6589
135.0622,30.5952,6.9595,7.6137,3.6784,630.5185,23.8694,125.9161,353.5245,333.492,4.7824
90.9091,21.8847,5.3158,8.2745,11.0891,302.8467,-26.1883,123.4267,897.2850,257.726,2.2105
183.2936,20.4592,12.6487,8.8171,7.5176,573.9229,8.4577,85.6173,504.3357,249.533,4.0732
185.1024,30.5356,10.0070,3.7865,12.7768,1325.8578,-12.0933,159.4529,626.2791,649.967,7.1808
144.7255,51.1451,10.3642,2.0057,4.5382,471.5498,25.7459,193.0211,782.1659,101.712,0.5253
185.3612,57.8780,5.0278,6.8599,0.9690,564.3483,15.9501,87.9748,532.6977,372.480,20.0000
184.6920,36.9255,6.5416,7.3930,10.2190,230.1707,-11.2970,209.3209,654.9146,151.942,2.7176
94.5205,28.9879,8.0570,7.8831,3.2216,565.8640,-25.7404,158.3544,360.2592,170.265,0.7696
88.5029,29.5202,12.0277,4.1424,1.8524,4000.0000,4.2626,136.1739,749.2336,922.238,1.5568
91.6317,37.2420,9.0829,6.6702,10.2071,2164.1826,29.0499,83.7785,481.8349,395.905,2.9926
109.8388,27.6084,9.3834,6.2188,3.8996,681.2306,25.3959,132.0383,802.9444,189.070,1.1954
199.9139,53.4411,15.6280,11.2637,11.8817,1575.1667,-0.8615,99.9246,480.7282,256.922,2.4958
198.2371,30.6081,13.4088,6.5501,5.9221,2420.1322,29.7254,147.8076,702.8858,593.025,7.0581
196.2451,43.1672,10.5063,9.4798,0.8003,1394.5390,0.1710,189.3808,310.2029,556.103,4.4335
102.2990,43.8014,12.1026,4.3520,1.6784,4000.0000,-15.2271,153.2327,633.5671,430.577,1.4675
142.7339,57.3883,6.4511,9.1619,3.3416,709.7607,10.3014,111.9996,421.3240,235.831,4.7285
