length_mm,width_mm,thickness_mm,conductivity_W_mK,h_W_m2K,T_ambient_C,q_W,peak_temp_C,hot_spot_x_mm
138.7026,11.2505,6.9505,97.0522,185.4354,47.6699,186.8003,249.976,132.576
35.0655,20.9319,11.0964,20.3490,53.7152,44.9884,16.1120,97.224,34.360
167.6032,10.3249,16.5047,282.2744,88.3614,-4.4521,168.3685,178.025,158.629
46.4418,52.3747,12.8671,324.7800,183.7843,33.6228,200.0000,191.995,42.885
170.9988,40.9260,17.5107,235.1673,177.6201,-15.4176,200.0000,144.183,0.593
69.5745,15.0501,7.0035,257.9169,94.3839,17.0181,20.2186,48.067,67.490
140.1660,40.4566,5.0805,294.3595,45.0336,17.9455,125.3284,165.144,129.147
146.3844,52.1426,15.9680,99.3287,12.8646,11.5453,20.7456,40.723,136.509
178.9825,25.7339,13.7979,164.2964,229.0642,25.8852,200.0000,185.994,1.925
74.6661,39.2293,18.1608,165.7662,58.7336,79.7538,63.8308,141.757,67.534
48.6404,41.3723,16.2574,174.6424,20.5643,18.1619,25.2786,41.343,41.664
176.3325,10.5741,14.9730,275.8670,136.5577,6.6825,186.7419,161.041,168.145
107.1330,57.6908,17.7654,112.7217,127.6436,-2.1348,200.0000,160.179,0.000
138.6214,40.4485,4.7511,307.3792,137.1479,57.8626,200.0000,221.403,0.005
33.3110,56.4549,17.8170,334.3496,80.3410,-14.2075,78.2444,51.595,28.759
112.6184,13.4606,15.6908,308.6754,36.4559,27.5282,32.1862,72.063,105.141
101.9334,20.5899,11.7073,294.6731,54.2820,11.1716,78.3010,105.082,91.605
117.9879,16.0502,6.0446,141.8534,149.1356,3.0115,55.8615,72.891,112.868
68.9201,55.2710,17.4734,37.6344,63.3111,46.8978,44.8855,98.601,66.687
127.0773,33.6336,16.1231,324.9238,51.6504,-10.3069,73.0891,56.879,116.362
153.9429,43.6682,19.7150,48.3830,103.6422,13.9303,200.0000,173.952,0.974
106.2643,31.0941,7.0138,107.4245,231.2001,24.3131,200.0000,183.088,0.000
199.8780,51.8014,19.4419,371.2831,212.9305,-3.3689,200.0000,157.546,1.479
39.9680,28.9487,19.7356,113.4292,197.0973,25.5008,84.6580,107.601,35.053
124.4806,45.9204,4.7863,125.7161,242.3338,37.9180,200.0000,197.901,0.000
129.3102,35.1425,17.3490,71.3988,240.3908,-11.9889,200.0000,143.050,0.000
69.9847,15.9943,18.0252,106.0240,150.6572,41.9382,78.6629,125.177,64.568
188.9001,20.2130,14.8915,103.0875,101.9675,47.1690,117.6528,139.704,2.291
42.3323,32.9143,19.9722,398.4776,22.9489,1.3154,8.2604,30.000,35.265
179.4759,28.4764,4.8394,335.1605,177.3673,41.1678,200.0000,200.883,0.000
168.9077,24.9689,13.9410,376.1827,37.9013,-8.4571,25.0773,30.000,154.410
132.8211,45.8806,5.6648,257.3528,69.6761,28.8532,192.7309,209.199,124.045
102.0079,23.8340,2.0638,310.7365,161.0928,6.1955,145.4043,162.958,96.230
31.6438,13.7622,17.8959,362.5321,138.6696,63.4595,39.0848,100.112,28.487
82.4039,54.9491,16.3302,345.6740,225.2365,1.0077,200.0000,166.567,1.571
180.3029,30.3189,13.1719,70.2758,232.8208,66.4606,200.0000,229.538,0.000
34.2137,46.8282,7.9793,373.0182,201.5476,66.4064,139.1124,183.342,33.095
48.3763,53.6083,17.4547,96.7491,205.0637,26.0303,124.0537,125.774,0.000
34.0230,19.6565,7.9087,347.0976,241.8878,7.9125,68.9100,71.445,33.075
121.1567,56.9619,4.0762,388.4562,48.7491,76.2534,57.9975,135.509,113.137
153.8527,25.6839,12.9118,209.4550,99.3729,37.6588,92.5213,114.347,144.909
187.3478,36.9226,14.9497,299.3605,169.3040,16.4221,142.4687,129.088,0.000
83.3657,52.4008,14.9556,127.1257,80.7747,20.8393,96.5699,106.134,77.464
101.4759,57.0182,14.1917,362.0942,155.8012,10.0950,200.0000,173.384,0.003
103.0810,38.9992,13.7847,191.3454,113.3292,1.3701,147.8736,124.632,94.357
58.8475,14.2398,11.2781,256.8469,87.1211,61.8423,45.1918,119.365,52.280
