clearance_mm,q_W,T_coolant_C,emissivity,mount_conductance_W_K,T_peak_C,T_wall_C,q_gap_W,q_rad_W,q_mount_W
0.50,120.0,30.0,0.20,0.50,57.6568,43.2715,103.5741,2.5975,13.8284
0.50,120.0,30.0,0.20,1.10,54.3024,41.6584,91.0367,2.2307,26.7326
0.50,120.0,30.0,0.50,0.50,57.2296,43.2982,100.3064,6.0788,13.6148
0.50,120.0,30.0,0.50,1.10,53.9789,41.7029,88.3868,5.2364,26.3767
0.50,120.0,30.0,0.80,0.50,56.8536,43.3216,97.4304,9.1428,13.4268
0.50,120.0,30.0,0.80,1.10,53.6925,41.7423,86.0413,7.8970,26.0617
0.50,120.0,45.0,0.20,0.50,72.6116,58.2743,103.2291,2.9651,13.8058
0.50,120.0,45.0,0.20,1.10,69.2681,56.6631,90.7554,2.5497,26.6949
0.50,120.0,45.0,0.50,0.50,72.1280,58.3045,99.5288,6.9072,13.5640
0.50,120.0,45.0,0.50,1.10,68.9010,56.7136,87.7489,5.9600,26.2911
0.50,120.0,45.0,0.80,0.50,71.7059,58.3309,96.2999,10.3472,13.3529
0.50,120.0,45.0,0.80,1.10,68.5786,56.7579,85.1089,8.9547,25.9365
0.50,120.0,60.0,0.20,0.50,87.5627,73.2773,102.8548,3.3638,13.7814
0.50,120.0,60.0,0.20,1.10,84.2308,71.6683,90.4499,2.8963,26.6538
0.50,120.0,60.0,0.50,0.50,87.0187,73.3113,98.6933,7.7973,13.5094
0.50,120.0,60.0,0.50,1.10,83.8171,71.7251,87.0622,6.7390,26.1988
0.50,120.0,60.0,0.80,0.50,86.5484,73.3407,95.0950,11.6308,13.2742
0.50,120.0,60.0,0.80,1.10,83.4570,71.7747,84.1127,10.0846,25.8027
0.50,120.0,75.0,0.20,0.50,102.5099,88.2806,102.4506,3.7945,13.7549
0.50,120.0,75.0,0.20,1.10,99.1904,86.6738,90.1195,3.2710,26.6095
0.50,120.0,75.0,0.50,0.50,101.9020,88.3186,97.8000,8.7490,13.4510
0.50,120.0,75.0,0.50,1.10,98.7273,86.7375,86.3265,7.5735,26.1000
0.50,120.0,75.0,0.80,0.50,101.3814,88.3512,93.8180,12.9912,13.1907
0.50,120.0,75.0,0.80,1.10,98.3278,86.7924,83.0543,11.2852,25.6605
0.50,150.0,30.0,0.20,0.50,64.5521,46.5905,129.3238,3.4001,17.2761
0.50,150.0,30.0,0.20,1.10,60.3655,44.5747,113.6931,2.9049,33.4020
0.50,150.0,30.0,0.50,0.50,63.9949,46.6253,125.0614,7.9412,16.9975
0.50,150.0,30.0,0.50,1.10,59.9453,44.6325,110.2518,6.8084,32.9398
